ell,nu_med,nu_mad
2,156.80216337827818,0.022842184690372296
0,159.01560220525488,0.022603798957330168
2,173.73215690612847,0.012197060790374657
0,175.94557395774373,0.011617428147143857
2,190.6840758508747,0.006231115099062154
0,192.89749035150436,0.005098111483965297
2,207.65822699624601,0.005185892579553137
0,209.871578825916,0.0036071164814799428
2,224.65472367823247,0.004956591151063148
0,226.8679069088377,0.003542329059600902
2,241.67322183507014,0.005810599243986078
0,243.88663886428782,0.005272000085656714
2,258.71383780365505,0.011799611213817115
0,260.927320443469,0.011669565797905136
