name,mean,std,skew,2nd,16th,50th,84th,97th,MAD
dnu,1.2305628042943315,7.093025084915796e-05,0.09823154581092189,1.2304253864141892,1.2304921042382848,1.2305613459839053,1.2306331889749298,1.230707688879193,7.281309387581738e-05
numax,2.3512166313449363,0.0007327733442310089,0.058901556111614475,2.349794707622932,2.350476428195174,2.351210888755448,2.3519410963331735,2.352717664956351,0.0007402521104430369
eps,1.341658782113341,0.0021732535527789823,-0.11599254031191439,1.3371920831015685,1.339499531968101,1.3417069922231324,1.3438172221887177,1.3457969501343785,0.0022167447147478426
d02,0.3450374015719261,0.001052864285088131,0.04936737029674312,0.34299717204247454,0.34397332911654255,0.3450339885793244,0.34609245416671325,0.3471741936030906,0.0010712403964480775
alpha,-2.88823293410002,0.07450472188253995,-0.24691978179982793,-3.0464995132258452,-2.9620667978861883,-2.8856077036806473,-2.814644987316809,-2.7479483767431034,0.07361772608902671
env_height,1.5664677567351097,0.022370703855241748,0.07516029896204457,1.5221221248009094,1.5439913250646207,1.5661166894932845,1.588838044417599,1.6108067887948714,0.022140883581003322
env_width,1.221037546812111,0.008244319037789214,0.10262861374775029,1.2050840299201204,1.212700803046573,1.22090465837296,1.2294813732542653,1.2378246327362197,0.008224768441240064
mode_width,-0.8126609344359366,0.0128247547295577,-0.06996349705826937,-0.838900056607162,-0.8254710562274319,-0.812345665045114,-0.8002013789700735,-0.7871349222315466,0.012521506997243092
teff,3.6838154110634718,0.007367375052954282,-0.0039231101741194555,3.669285239743461,3.676293573458529,3.6838707659514407,3.691217690608993,3.6983939644094854,0.007568093230056763
bp_rp,1.2543973678811613,0.05588061103155399,0.030571562362348453,1.147946870777102,1.1976022268767754,1.2539990945863115,1.3128282227671215,1.3645721474472525,0.05871370853179873
