dnu,numax,eps,d02,alpha,env_height,env_width,mode_width,teff,bp_rp
1.3915391437496865,2.604901425451185,1.1968478697069616,0.32880001178577506,-2.3246151866337863,1.5171261148657011,1.6981675739962363,-0.5384240737437249,3.699660408127246,1.3276039811874663
1.391313770301182,2.6014979400479485,1.204049425715753,0.33225275602051985,-2.2820815657014992,1.3770519002121573,1.779287503401001,-0.44702645022398424,3.698145396696926,1.2806974958475918
1.3913213154892148,2.6021477294635065,1.2021520733635065,0.32832298973777374,-2.252567455583229,1.326964409170349,1.7241056828090218,-0.4308471597174921,3.6911353308666053,1.1568362465708566
1.3912720926108775,2.602972950618195,1.2062048405958654,0.3227708916373168,-2.3525658548825006,1.352814210223931,1.750136381542529,-0.4625361387460366,3.6898401686313314,1.1442027786369973
1.390077037805923,2.5866555782926715,1.2508750893065501,0.33319231144454337,-2.3728690926217406,1.379846118394547,1.6812651366982496,-0.4597582965593794,3.6922216050502428,1.1600901749124288
1.391353468876668,2.6020012414619855,1.201890292448698,0.33069250276025575,-2.280468054337185,1.4177887469213255,1.7364420665805886,-0.4970892736564157,3.688951707704384,1.026249239262071
1.3909625687134228,2.6012233714116038,1.2168932053771415,0.3251732794222696,-2.2856053240628444,1.3855504096938798,1.7489437475260032,-0.46257798404399897,3.694286085063677,1.2285675618583922
1.3915294458741536,2.602822664814265,1.195919490771484,0.3383557844989807,-2.309673498742951,1.4350069349664507,1.666489778103841,-0.48749905081946193,3.6979280200220286,1.231830947646157
1.389065275519065,2.5819756316539104,1.2885838395947342,0.32769988271876416,-2.344984929441825,1.3296746611194983,1.7179226454841754,-0.44812043774054533,3.691954756378221,1.2288445522519342
1.3898063030629824,2.590413304066256,1.2605694669144942,0.33345393191597095,-2.4061678062657745,1.4517253180235514,1.6932475895944892,-0.5362076136062423,3.6905829575065607,1.1511822343575842
1.391273953324814,2.6014138064307013,1.2055730108274747,0.32129617746360634,-2.271852050962363,1.4445061253135265,1.7613915310102,-0.49618854052613154,3.6915544963958737,1.2233156469515891
1.3913523948830013,2.602774280593429,1.2032131978062788,0.33275798404459883,-2.3049776122805987,1.36786207178317,1.7375073257654103,-0.477973571309857,3.6891022153891386,1.1692594408930577
1.3912878059832898,2.6010717856312486,1.205375602866483,0.3220367313951603,-2.290406121403663,1.5710354166452662,1.7141076697378432,-0.545017254114331,3.69429611178881,1.1572622067056189
1.3915416710084112,2.603273941809931,1.195568259836441,0.3341821261448593,-2.3114654690011958,1.5558116225225833,1.6760234011841897,-0.5430420049253509,3.6911760437425674,1.3408417532718442
1.3899227586647938,2.594509682068491,1.2568093889449452,0.341633125937868,-2.372923825912957,1.3756601686360546,1.6794228072211208,-0.4687875517246087,3.69529398933741,1.2348333963355553
1.3913608633735064,2.6017786272573686,1.2025297244945117,0.3296320946435783,-2.251658503566909,1.4447670628943334,1.745718658787194,-0.5099658565848243,3.6836870547336558,1.197323102860792
1.3915414798450334,2.6019011283526785,1.1932834788865498,0.3207818191895302,-2.2946713893037307,1.5244616589487425,1.7584516199551503,-0.5102627297405475,3.6921533947560174,1.2201529438558616
1.3917004242894329,2.6062454603586622,1.189627581323529,0.3398823819893536,-2.271351043574263,1.5315611583687856,1.7062586105259143,-0.5158576424445263,3.6905601145747027,1.2263744303006108
1.3917159050655732,2.60212730849428,1.1894718194774434,0.32988649960863925,-2.297009831597955,1.5356733223940024,1.6984929457868032,-0.5613266458827114,3.698847420626581,1.3225394242996957
1.3914353343335117,2.6034258278759905,1.1999717862758539,0.34355133296756263,-2.3230086935363934,1.3832127146339777,1.7309451220725294,-0.4629002418819141,3.700548051848771,1.2022881055499435
1.3913880123880162,2.6020220678001174,1.2017318702683193,0.34159903740160075,-2.2990587771927733,1.5343079208579729,1.7194587180364347,-0.5274111388062769,3.688600604243577,1.151242957112396
1.3913139651042632,2.6013806508726396,1.203121730427513,0.33910161692281116,-2.254450231111913,1.405158317650666,1.7030505585984224,-0.4433285006932596,3.68836388127553,1.2464965021658516
